repo,source_paper_title,doi,stratum,language,packaged,install_decay_outcome,reason
ikmb/gwas-qc,BIGwas: Single-command quality control and association testing for multi-cohort and biobank-scale GWAS/PheWAS data.,10.1093/gigascience/giab047,genomics,python,no,N/A (not a package),no_install_manifest
imbs-hl/MBMDRClassifieR,Empowering individual trait prediction using interactions for precision medicine.,10.1186/s12859-021-04011-z,bioinformatics-methods,python,yes,install-decay (fails),R_install_failed
informationsea/Matataki,Matataki: an ultrafast mRNA quantification method for large-scale reanalysis of RNA-Seq data.,10.1186/s12859-018-2279-y,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
inzilico/imputeqc,imputeqc: an R package for assessing imputation quality of genotypes and optimizing imputation parameters.,10.1186/s12859-020-03589-0,bioinformatics-methods,r,yes,install-decay (fails),R_install_failed
iprada/Circle-Map,Sensitive detection of circular DNAs at single-nucleotide resolution using guided realignment of partially aligned reads.,10.1186/s12859-019-3160-3,bioinformatics-methods,python,yes,install-decay (fails),pip_install_failed
jadermcg/mfmd,Sequence motif finder using memetic algorithm.,10.1186/s12859-017-2005-1,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
jae-hyun-lee/commodar,Literature mining for context-specific molecular relations using multimodal representations (COMMODAR).,10.1186/s12859-020-3396-y,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
janka2012/digIS,digIS: towards detecting distant and putative novel insertion sequence elements in prokaryotic genomes.,10.1186/s12859-021-04177-6,bioinformatics-methods,python,yes,install-decay (fails),pip_requirements_failed
jeffliu6068/GMMchi,GMMchi: gene expression clustering using Gaussian mixture modeling.,10.1186/s12859-022-05006-0,bioinformatics-methods,python,yes,install-decay (fails),pip_install_failed
jengelmann/FastqPuri,FastqPuri: high-performance preprocessing of RNA-seq data.,10.1186/s12859-019-2799-0,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
jessemzhang/dendrosplit,An interpretable framework for clustering single-cell RNA-Seq datasets.,10.1186/s12859-018-2092-7,bioinformatics-methods,python,yes,installs,example_exit_1
jie108/dagbagM,DAGBagM: learning directed acyclic graphs of mixed variables with an application to identify protein biomarkers for treatment response in ovarian cancer.,10.1186/s12859-022-04864-y,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
jkimlab/msPIPE,msPIPE: a pipeline for the analysis and visualization of whole-genome bisulfite sequencing data.,10.1186/s12859-022-04925-2,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
jschellh/ProtSpaM,Prot-SpaM: fast alignment-free phylogeny reconstruction based on whole-proteome sequences.,10.1093/gigascience/giy148,genomics,python,no,N/A (not a package),no_install_manifest
jxu1234/MeDEStrand,MeDEStrand: an improved method to infer genome-wide absolute methylation levels from DNA enrichment data.,10.1186/s12859-018-2574-7,bioinformatics-methods,r,yes,install-decay (fails),R_install_failed
karubiotools/getSequenceInfo,getSequenceInfo: a suite of tools allowing to get genome sequence information from public repositories.,10.1186/s12859-022-04809-5,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
katrijnvandeun/SPCovR,Obtaining insights from high-dimensional data: sparse principal covariates regression.,10.1186/s12859-018-2114-5,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
kejia1215/HVSM,An improved approach to infer protein-protein interaction based on a hierarchical vector space model.,10.1186/s12859-018-2152-z,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
khazum/ccImpute,ccImpute: an accurate and scalable consensus clustering based algorithm to impute dropout events in the single-cell RNA-seq data.,10.1186/s12859-022-04814-8,bioinformatics-methods,r,yes,install-decay (fails),R_install_failed
komorowskilab/R.ROSETTA,R.ROSETTA: an interpretable machine learning framework.,10.1186/s12859-021-04049-z,bioinformatics-methods,r,yes,installs,imports_only
laeeq80/spark-cpvs,Efficient iterative virtual screening with Apache Spark and conformal prediction.,10.1186/s13321-018-0265-z,cheminformatics,python,no,N/A (not a package),no_install_manifest
lanagarmire/lilikoi,Lilikoi: an R package for personalized pathway-based classification modeling using metabolomics data.,10.1093/gigascience/giy136,genomics,python,yes,install-decay (fails),R_install_failed
lasigeBioTM/MER,MER: a shell script and annotation server for minimal named entity recognition and linking.,10.1186/s13321-018-0312-9,cheminformatics,python,no,N/A (not a package),no_install_manifest
lemoncyb/VISPR-online,VISPR-online: a web-based interactive tool to visualize CRISPR screening experiments.,10.1186/s12859-021-04275-5,bioinformatics-methods,python,yes,install-decay (fails),conda_env_failed
lich-uct/syba,SYBA: Bayesian estimation of synthetic accessibility of organic compounds.,10.1186/s13321-020-00439-2,cheminformatics,python,yes,installs,example_exit_1
liudoubletian/eBay,An empirical Bayes approach to normalization and differential abundance testing for microbiome data.,10.1186/s12859-020-03552-z,bioinformatics-methods,r,yes,installs,example_exit_1
lmweber/snp-dmx-cancer,Genetic demultiplexing of pooled single-cell RNA-sequencing samples in cancer facilitates effective experimental design.,10.1093/gigascience/giab062,genomics,python,no,N/A (not a package),no_install_manifest
luojunwei/BreakNet,BreakNet: detecting deletions using long reads and a deep learning approach.,10.1186/s12859-021-04499-5,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
lvclark/polyRAD,A population-level statistic for assessing Mendelian behavior of genotyping-by-sequencing data from highly duplicated genomes.,10.1186/s12859-022-04635-9,bioinformatics-methods,python,yes,install-decay (fails),R_install_failed
malewins/SEQing,SEQing: web-based visualization of iCLIP and RNA-seq data in an interactive python framework.,10.1186/s12859-020-3434-9,bioinformatics-methods,python,yes,install-decay (fails),pip_requirements_failed
marchiem/breakalign,BreakAlign: a Perl program to align chimaeric (split) genomic NGS reads and allow visual confirmation of novel retroviral integrations.,10.1186/s12859-022-04621-1,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
marcos-diazg/musica,Mutational Signatures in Cancer (MuSiCa): a web application to implement mutational signatures analysis in cancer samples.,10.1186/s12859-018-2234-y,bioinformatics-methods,r,no,N/A (not a package),no_install_manifest
marouenbg/VFFVA,VFFVA: dynamic load balancing enables large-scale flux variability analysis.,10.1186/s12859-020-03711-2,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
mathelab/IntLIM,IntLIM: integration using linear models of metabolomics and gene expression data.,10.1186/s12859-018-2085-6,bioinformatics-methods,r,yes,install-decay (fails),R_install_failed
maxiaopeng/dualmarker,Dualmarker: a flexible toolset for exploratory analysis of combinatorial dual biomarkers for clinical efficacy.,10.1186/s12859-021-04050-6,bioinformatics-methods,r,yes,install-decay (fails),R_install_failed
mccoymd/SNP2SIM,SNP2SIM: a modular workflow for standardizing molecular simulation and functional analysis of protein variants.,10.1186/s12859-019-2774-9,bioinformatics-methods,python,yes,inconclusive (timeout/error),no_verdict_parsed
meringlab/og_consistency_pipeline,Tree reconciliation combined with subsampling improves large scale inference of orthologous group hierarchies.,10.1186/s12859-019-2828-z,bioinformatics-methods,python,yes,install-decay (fails),pip_requirements_failed
metagenome-atlas/atlas,"ATLAS: a Snakemake workflow for assembly, annotation, and genomic binning of metagenome sequence data.",10.1186/s12859-020-03585-4,bioinformatics-methods,python,yes,installs,example_exit_1
mhalushka/miRge,miRge 2.0 for comprehensive analysis of microRNA sequencing data.,10.1186/s12859-018-2287-y,bioinformatics-methods,python,yes,install-decay (fails),pip_install_failed
nasqar/NASQAR,NASQAR: a web-based platform for high-throughput sequencing data analysis and visualization.,10.1186/s12859-020-03577-4,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
nawrockie/vadr,VADR: validation and annotation of virus sequence submissions to GenBank.,10.1186/s12859-020-3537-3,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
neufeld/AXIOME3,"AXIOME3: Automation, eXtension, and Integration Of Microbial Ecology.",10.1093/gigascience/giab006,genomics,python,no,N/A (not a package),no_install_manifest
nicolaprezza/ebwt2InDel,Variable-order reference-free variant discovery with the Burrows-Wheeler Transform.,10.1186/s12859-020-03586-3,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
nishithkumarpaul/Rvolcano,Robust volcano plot: identification of differential metabolites in the presence of outliers.,10.1186/s12859-018-2117-2,bioinformatics-methods,r,yes,installs,imports_only
nkiip/IDLP,Prioritizing disease genes with an improved dual label propagation framework.,10.1186/s12859-018-2040-6,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
npdeloss/meirlop,MEIRLOP: improving score-based motif enrichment by incorporating sequence bias covariates.,10.1186/s12859-020-03739-4,bioinformatics-methods,python,yes,install-decay (fails),pip_install_failed
nrdg/fracridge,"Fractional ridge regression: a fast, interpretable reparameterization of ridge regression.",10.1093/gigascience/giaa133,genomics,python,yes,installs,ran_ok
nyiuab/NBZIMM,"NBZIMM: negative binomial and zero-inflated mixed models, with application to microbiome/metagenomics data analysis.",10.1186/s12859-020-03803-z,bioinformatics-methods,python,yes,install-decay (fails),R_install_failed
obrien-lab/aip_web_docker,RiboA: a web application to identify ribosome A-site locations in ribosome profiling data.,10.1186/s12859-021-04068-w,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
ocxtal/libgaba,Introducing difference recurrence relations for faster semi-global alignment of long sequences.,10.1186/s12859-018-2014-8,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
overton-group/eHDPrep,Strategies and techniques for quality control and semantic enrichment with multimodal data: a case study in colorectal cancer with eHDPrep.,10.1093/gigascience/giad030,genomics,r,yes,install-decay (fails),R_install_failed
pdbeurope/pdbecif,PDBeCIF: an open-source mmCIF/CIF parsing and processing package.,10.1186/s12859-021-04271-9,bioinformatics-methods,python,yes,installs,imports_only
philipmorrisintl/NPA,NPA: an R package for computing network perturbation amplitudes using gene expression data and two-layer networks.,10.1186/s12859-019-3016-x,bioinformatics-methods,r,yes,install-decay (fails),R_install_failed
phngs/allestm,AllesTM: predicting multiple structural features of transmembrane proteins.,10.1186/s12859-020-03581-8,bioinformatics-methods,python,yes,install-decay (fails),pip_install_failed
pkhoueiry/fcScan,fcScan: a versatile tool to cluster combinations of sites using genomic coordinates.,10.1186/s12859-020-3536-4,bioinformatics-methods,r,yes,install-decay (fails),R_install_failed
plantdna/amgt-ts,An integrated strategy for target SSR genotyping with toleration of nucleotide variations in the SSRs and flanking regions.,10.1186/s12859-021-04351-w,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
prabhakarlab/scConsensus,scConsensus: combining supervised and unsupervised clustering for cell type identification in single-cell RNA sequencing data.,10.1186/s12859-021-04028-4,bioinformatics-methods,r,yes,install-decay (fails),R_install_failed
ps4dr/ps4dr,PS4DR: a multimodal workflow for identification and prioritization of drugs based on pathway signatures.,10.1186/s12859-020-03568-5,bioinformatics-methods,python,yes,install-decay (fails),R_install_failed
qhtjrmin/GPrimer,GPrimer: a fast GPU-based pipeline for primer design for qPCR experiments.,10.1186/s12859-021-04133-4,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
rcs333/VAPiD,VAPiD: a lightweight cross-platform viral annotation pipeline and identification tool to facilitate virus genome submissions to NCBI GenBank.,10.1186/s12859-019-2606-y,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
replikation/What_the_Phage,What the Phage: a scalable workflow for the identification and analysis of phage sequences.,10.1093/gigascience/giac110,genomics,python,no,N/A (not a package),no_install_manifest
reymond-group/mhfp,A probabilistic molecular fingerprint for big data settings.,10.1186/s13321-018-0321-8,cheminformatics,python,yes,installs,example_exit_1
rsait/ORdensity,ORdensity: user-friendly R package to identify differentially expressed genes.,10.1186/s12859-020-3463-4,bioinformatics-methods,r,yes,installs,example_exit_1
rudi2013/ZDOG,ZDOG: zooming in on dominating genes with mutations in cancer pathways.,10.1186/s12859-019-3326-z,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
sahildshah1/gene-surrounder,GeneSurrounder: network-based identification of disease genes in expression data.,10.1186/s12859-019-2829-y,bioinformatics-methods,r,yes,install-decay (fails),R_install_failed
semmelweis-pharmacology/ppi_pred,Efficient link prediction in the protein-protein interaction network using topological information in a generative adversarial network machine learning model.,10.1186/s12859-022-04598-x,bioinformatics-methods,python,yes,inconclusive (timeout/error),"command failed (exit 125): ['/usr/local/bin/docker', 'run', '-d', '--platform', "
sib-swiss/HAMAP-SPARQL,HAMAP as SPARQL rules-A portable annotation pipeline for genomes and proteomes.,10.1093/gigascience/giaa003,genomics,python,no,N/A (not a package),no_install_manifest
sjthursby/CandiMeth,CandiMeth: Powerful yet simple visualization and quantification of DNA methylation at candidate genes.,10.1093/gigascience/giaa066,genomics,python,no,N/A (not a package),no_install_manifest
slzarate/parliament2,Parliament2: Accurate structural variant calling at scale.,10.1093/gigascience/giaa145,genomics,python,no,N/A (not a package),no_install_manifest
smajidian/phaseme,PhaseME: Automatic rapid assessment of phasing quality and phasing improvement.,10.1093/gigascience/giaa078,genomics,python,no,N/A (not a package),no_install_manifest
soedinglab/hh-suite,HH-suite3 for fast remote homology detection and deep protein annotation.,10.1186/s12859-019-3019-7,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
sorgerlab/famplex,FamPlex: a resource for entity recognition and relationship resolution of human protein families and complexes in biomedical text mining.,10.1186/s12859-018-2211-5,bioinformatics-methods,python,yes,installs,imports_only
srp33/ShinyLearner,ShinyLearner: A containerized benchmarking tool for machine-learning classification of tabular data.,10.1093/gigascience/giaa026,genomics,python,no,N/A (not a package),no_install_manifest
stefan-hoeck/cyby2,"CyBy<sup>2</sup>: a strongly typed, purely functional framework for chemical data management.",10.1186/s13321-019-0403-2,cheminformatics,python,no,N/A (not a package),no_install_manifest
stefangraw/pwrEWAS,pwrEWAS: a user-friendly tool for comprehensive power estimation for epigenome wide association studies (EWAS).,10.1186/s12859-019-2804-7,bioinformatics-methods,r,yes,installs,imports_only
stjude/seaseq,SEAseq: a portable and cloud-based chromatin occupancy analysis suite.,10.1186/s12859-022-04588-z,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
stracquadaniolab/pygna,PyGNA: a unified framework for geneset network analysis.,10.1186/s12859-020-03801-1,bioinformatics-methods,python,yes,installs,imports_only
sxf296/drug_targeting,Drug perturbation gene set enrichment analysis (dpGSEA): a new transcriptomic drug screening approach.,10.1186/s12859-020-03929-0,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
syspremed/polyClustR,polyClustR: defining communities of reconciled cancer subtypes with biological and prognostic significance.,10.1186/s12859-018-2204-4,bioinformatics-methods,r,yes,installs,imports_only
taherimo/kludo,Assignment of structural domains in proteins using diffusion kernels on graphs.,10.1186/s12859-022-04902-9,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
tbwxmu/SAMPN,A self-attention based message passing neural network for predicting molecular lipophilicity and aqueous solubility.,10.1186/s13321-020-0414-z,cheminformatics,python,no,N/A (not a package),no_install_manifest
thecodingdoc/SwarmTCR,SwarmTCR: a computational approach to predict the specificity of T cell receptors.,10.1186/s12859-021-04335-w,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
ucrbioinfo/PGV,Reference-agnostic representation and visualization of pan-genomes.,10.1186/s12859-021-04424-w,bioinformatics-methods,python,yes,installs,imports_only
umr-ds/NOREC4DNA,NOREC4DNA: using near-optimal rateless erasure codes for DNA storage.,10.1186/s12859-021-04318-x,bioinformatics-methods,python,yes,install-decay (fails),pip_requirements_failed
unipept/FragGeneScanRs,FragGeneScanRs: faster gene prediction for short reads.,10.1186/s12859-022-04736-5,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
usegalaxy-eu/gpu-jupyterlab-docker,An accessible infrastructure for artificial intelligence using a Docker-based JupyterLab in Galaxy.,10.1093/gigascience/giad028,genomics,python,no,N/A (not a package),no_install_manifest
veronicaguerrini/LiME,Metagenomic analysis through the extended Burrows-Wheeler transform.,10.1186/s12859-020-03628-w,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
vetscience/Assemblosis,Common workflow language (CWL)-based software pipeline for de novo genome assembly from long- and short-read data.,10.1093/gigascience/giz014,genomics,python,no,N/A (not a package),no_install_manifest
vfscalfani/CSN_tutorial,Visualizing chemical space networks with RDKit and NetworkX.,10.1186/s13321-022-00664-x,cheminformatics,python,no,N/A (not a package),no_install_manifest
volkamerlab/TeachOpenCADD,TeachOpenCADD: a teaching platform for computer-aided drug design using open source packages and data.,10.1186/s13321-019-0351-x,cheminformatics,python,yes,installs,imports_only
vyacheslav-tsivina/signature-sj,Fast estimation of genetic relatedness between members of heterogeneous populations of closely related genomic variants.,10.1186/s12859-018-2333-9,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
william-denault/ffw,Detecting differentially methylated regions using a fast wavelet-based approach to functional association analysis.,10.1186/s12859-021-03979-y,bioinformatics-methods,r,yes,installs,imports_only
wzmao/RDb2C,Identification of residue pairing in interacting β-strands from a predicted residue contact map.,10.1186/s12859-018-2150-1,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
xryanglab/RiboMiner,RiboMiner: a toolset for mining multi-dimensional features of the translatome with ribosome profiling data.,10.1186/s12859-020-03670-8,bioinformatics-methods,python,yes,install-decay (fails),pip_install_failed
yannponty/RNARedPrint,Fixed-parameter tractable sampling for RNA design with multiple target structures.,10.1186/s12859-019-2784-7,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
yigbt/multiGSEA,multiGSEA: a GSEA-based pathway enrichment analysis for multi-omics data.,10.1186/s12859-020-03910-x,bioinformatics-methods,r,yes,installs,imports_only
yigbt/uap,uap: reproducible and robust HTS data analysis.,10.1186/s12859-019-3219-1,bioinformatics-methods,python,yes,install-decay (fails),pip_install_failed
yiwenstat/MCPCA_PopGen,A novel nonlinear dimension reduction approach to infer population structure for low-coverage sequencing data.,10.1186/s12859-021-04265-7,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
yoann-dufresne/SLIM,SLIM: a flexible web application for the reproducible processing of environmental DNA metabarcoding data.,10.1186/s12859-019-2663-2,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
yuhuei/rehunt,REHUNT: a reliable and open source package for restriction enzyme hunting.,10.1186/s12859-018-2168-4,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
yzqheart/scHaplotyper,scHaplotyper: haplotype construction and visualization for genetic diagnosis using single cell DNA sequencing data.,10.1186/s12859-020-3381-5,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
zenanz/ChemTables,ChemTables: a dataset for semantic classification on tables in chemical patents.,10.1186/s13321-021-00568-2,cheminformatics,python,no,N/A (not a package),no_install_manifest
zhxiaokang/RASflow,RASflow: an RNA-Seq analysis workflow with Snakemake.,10.1186/s12859-020-3433-x,bioinformatics-methods,python,no,N/A (not a package),no_install_manifest
zoccoler/metroid,METROID: an automated method for robust quantification of subcellular fluorescence events at low SNR.,10.1186/s12859-020-03661-9,bioinformatics-methods,python,yes,install-decay (fails),pip_requirements_failed
zy26/M3S,M3S: a comprehensive model selection for multi-modal single-cell RNA sequencing data.,10.1186/s12859-019-3243-1,bioinformatics-methods,r,yes,install-decay (fails),R_install_failed
